id_paper,id_data,species,order,body_part,morphology,environmental_condition,genetic.epigenetic_mechanism,genetic.epigenetic_mechanism_filtered,plasticity.or.adaptation,author,title,year,journal,volume,doi
437,de217,Heliconius melpomene,Lepidoptera,wing,shape,geography ,SNPs,genomic,adaptation,Montejo-Kovacevich; Gabriela and Salazar; Patricio A. and Smith; Sophie H. and Gavilanes; Kimberly and Bacquet; Caroline N. and Chan; Yingguang Frank and Jiggins; Chris D. and Meier; Joana I. and Nadeau; Nicola J.,Genomics of altitude-associated wing shape in two tropical butterflies,2021,Molecular Ecology,30,10.1111/mec.16067
490,de140,Neodiprion lecontei,Hymenoptera,body,color,diet,SNPs,genomic,adaptation,Lindstedt; Carita and Bagley; Robin K. and Calhim; Sara and Jones; Mackenzie and Linnen; Catherine R.,The impact of life stage and pigment source on the evolution of novel warning signal traits,2022,Evolution,76,10.1111/evo.14443
515,b43,Acyrthosiphon pisum,Hemiptera,wing,overall development,diet,gene expression,transcriptomic,adaptation,Parker; Benjamin J. and Driscoll; Rose M. H. and Grantham; Mary E. and Hrcek; Jan and Brisson; Jennifer A.,Wing plasticity and associated gene expression varies across the pea aphid biotype complex,2021,Evolution,75,10.1111/evo.14174
594,de38,Coelopa frigida,Diptera,wing,size,geography,chromossome,chromossome,adaptation,Merot; Claire and Berdan; Emma L. and Cayuela; Hugo and Djambazian; Haig and Ferchaud; Anne-Laure and Laporte; Martin and Normandeau; Eric and Ragoussis; Jiannis and Wellenreuther; Maren and Bernatchez; Louis,Locally Adaptive Inversions Modulate Genetic Variation at Different Geographic Scales in a Seaweed Fly,2021,Molecular Biology and Evolution,38,10.1093/molbev/msab143
813,de43,Ceratitis capitata,Diptera,body,mass,diet,gene expression,transcriptomic,adaptation,Nash; Will and Mohorianu; Irina and Chapman; Tracey,Mate choice and gene expression signatures associated with nutritional adaptation in the medfly (Ceratitis capitata),2019,Scientific Reports,9,10.1038/s41598-019-42610-2
936,v3,Drosophila melanogaster,Diptera,wing,size,desiccation,chromossome,chromossome,adaptation,Lasne; Clementine and Van Heerwaarden; Belinda and Sgrò; Carla M. and Connallon; Tim,Quantifying the relative contributions of the X chromosome; autosomes; and mitochondrial genome to local adaptation*,2019,Evolution,73,10.1111/evo.13647
936,v1,Drosophila melanogaster,Diptera,wing,size,starvation,chromossome,chromossome,adaptation,Lasne; Clementine and Van Heerwaarden; Belinda and Sgrò; Carla M. and Connallon; Tim,Quantifying the relative contributions of the X chromosome; autosomes; and mitochondrial genome to local adaptation*,2019,Evolution,73,10.1111/evo.13647
936,v2,Drosophila melanogaster,Diptera,wing,size,heat,chromossome,chromossome,adaptation,Lasne; Clementine and Van Heerwaarden; Belinda and Sgrò; Carla M. and Connallon; Tim,Quantifying the relative contributions of the X chromosome; autosomes; and mitochondrial genome to local adaptation*,2019,Evolution,73,10.1111/evo.13647
987,b3,Drosophila melanogaster,Diptera,body,size,geography,foxo,single gene/pathway,adaptation,Durmaz; Esra and Rajpurohit; Subhash and Betancourt; Nicolas and Fabian; Daniel K. and Kapun; Martin and Schmidt; Paul and Flatt; Thomas,A clinal polymorphism in the insulin signaling transcription factor foxo contributes to life-history adaptation in Drosophila*,2019,Evolution,73,10.1111/evo.13759
1008,da30,Pogonus chalceus,Coleoptera,wing,size,geography,genomic,genomic,adaptation,Van Belleghem; Steven M. and Vangestel; Carl and De Wolf; Katrien and De Corte; Zoë and Möst; Markus and Rastas; Pasi and De Meester; Luc and Hendrickx; Frederik,Evolution at two time frames: Polymorphisms from an ancient singular divergence event fuel contemporary parallel evolution,2018,PLoS Genetics,14,10.1371/journal.pgen.1007796
1096,da24,Schistocerca gregaria,Orthoptera,body,color,social environment,CRZ,single gene/pathway,adaptation,Sugahara; Ryohei and Tanaka; Seiji,Environmental and hormonal control of body color polyphenism in late-instar desert locust nymphs: Role of the yellow protein,2018,Insect Biochemistry and Molecular Biology,93,10.1016/j.ibmb.2017.12.004
1286,de187,Apis mellifera,Hymenoptera,body,color,geography ,SNPs,genomic,adaptation,Wallberg; Andreas and Schoening; Caspar and Webster; Matthew T. and Hasselmann; Martin,Two extended haplotype blocks are associated with adaptation to high altitude habitats in East African honey bees,2017,PLoS Genetics,13,10.1371/journal.pgen.1006792
1286,de186,Apis mellifera,Hymenoptera,body,size,geography ,SNPs,genomic,adaptation,Wallberg; Andreas and Schoening; Caspar and Webster; Matthew T. and Hasselmann; Martin,Two extended haplotype blocks are associated with adaptation to high altitude habitats in East African honey bees,2017,PLoS Genetics,13,10.1371/journal.pgen.1006792
1345,b25,Timema cristinae,Phasmatodea,body,color,geography,chromosome,chromosome,adaptation,Wellenreuther; Maren,Balancing selection maintains cryptic colour morphs,2017,Molecular Ecology,26,10.1111/MEC.14406
1412,de142,Biston betularia,Lepidoptera,body,color,pollution,TEs,transposon,adaptation,Hof; Arjen E. Van't and Campagne; Pascal and Rigden; Daniel J. and Yung; Carl J. and Lingley; Jessica and Quail; Michael A. and Hall; Neil and Darby; Alistair C. and Saccheri; Ilik J.,The industrial melanism mutation in British peppered moths is a transposable element,2016,Nature,534,10.1038/nature17951
1412,de141,Biston betularia,Lepidoptera,body,color,predation,TEs,transposon,adaptation,Hof; Arjen E. Van't and Campagne; Pascal and Rigden; Daniel J. and Yung; Carl J. and Lingley; Jessica and Quail; Michael A. and Hall; Neil and Darby; Alistair C. and Saccheri; Ilik J.,The industrial melanism mutation in British peppered moths is a transposable element,2016,Nature,534,10.1038/nature17951
1462,da20,Cardiocondyla obscurior,Hymenoptera,body,overall development,caste,doublesex,single gene/pathway,adaptation,Klein; Antonia and Schultner; Eva and Lowak; Helena and Schrader; Lukas and Heinze; Juergen and Holman; Luke and Oettler; Jan,Evolution of Social Insect Polyphenism Facilitated by the Sex Differentiation Cascade,2016,PLoS Genetics,12,10.1371/journal.pgen.1005952
1541,de120,Melitaea cinxia,Lepidoptera,body,mass,temperature,SNPs,genomic,adaptation,Ahola; V. and Koskinen; P. and Wong; S. C. and Kvist; J. and Paulin; L. and Auvinen; P. and Saastamoinen; M. and Frilander; M. J. and Lehtonen; R. and Hanski; I.,Temperature- and sex-related effects of serine protease alleles on larval development in the Glanville fritillary butterfly,2015,Journal of Evolutionary Biology,28,10.1111/jeb.12745
1571,de96,Limnoporus dissortis,Hemiptera,leg,shape,predation,ubx,single gene/pathway,adaptation,Armisén; David and Nagui Refki; Peter and Crumière; Antonin Jean Johan and Viala; Séverine and Toubiana; William and Khila; Abderrahman,Predator strike shapes antipredator phenotype through new genetic interactions in water striders,2015,Nature Communications,6,10.1038/ncomms9153
1571,de97,Limnoporus dissortis,Hemiptera,leg,shape,predation,gilt,single gene/pathway,adaptation,Armisén; David and Nagui Refki; Peter and Crumière; Antonin Jean Johan and Viala; Séverine and Toubiana; William and Khila; Abderrahman,Predator strike shapes antipredator phenotype through new genetic interactions in water striders,2015,Nature Communications,6,10.1038/ncomms9153
1576,de87,Monomorium emersoni,Hymenoptera,wing,overall development,climate,gene expression,transcriptomic,adaptation,Fave; Marie-Julie and Johnson; Robert A. and Cover; Stefan and Handschuh; Stephan and Metscher; Brian D. and Mueller; Gerd B. and Gopalan; Shyamalika and Abouheif; Ehab,Past climate change on Sky Islands drives novelty in a core developmental gene network and its phenotype,2015,BMC Evolutionary Biology,15,10.1186/s12862-015-0448-4
1577,de81,Coenagrion scitulum,Odonata,body,mass,geography,SNPs,genomic,adaptation,Swaegers; J. and Mergeay; J. and Van Geystelen; A. and Therry; L. and Larmuseau; M. H. D. and Stoks; R.,Neutral and adaptive genomic signatures of rapid poleward range expansion,2015,Molecular Ecology,24,10.1111/mec.13462
1577,de80,Coenagrion scitulum,Odonata,muscle,size,geography,SNPs,genomic,adaptation,Swaegers; J. and Mergeay; J. and Van Geystelen; A. and Therry; L. and Larmuseau; M. H. D. and Stoks; R.,Neutral and adaptive genomic signatures of rapid poleward range expansion,2015,Molecular Ecology,24,10.1111/mec.13462
1999,v23,Solenopsis invicta,Hymenoptera,body,overall development,caste,dN/dS,genomic,adaptation,Hunt; Brendan G. and Ometto; Lino and Wurm; Yannick and Shoemaker; DeWayne and Yi; Soojin V. and Keller; Laurent and Goodisman; Michael A. D.,Relaxed selection is a precursor to the evolution of phenotypic plasticity,2011,Proceedings of the National Academy of Sciences of the United States of America,108,10.1073/pnas.1104825108
1999,v24,Solenopsis invicta,Hymenoptera,body,overall development,caste,gene expression,transcriptomic,adaptation,Hunt; Brendan G. and Ometto; Lino and Wurm; Yannick and Shoemaker; DeWayne and Yi; Soojin V. and Keller; Laurent and Goodisman; Michael A. D.,Relaxed selection is a precursor to the evolution of phenotypic plasticity,2011,Proceedings of the National Academy of Sciences of the United States of America,108,10.1073/pnas.1104825108
2097,de108,Drosophila melanogaster,Diptera,body,size,geography,crm,single gene/pathway,adaptation,Gibert; Jean-Michel and Karch; François and Schlötterer; Christian,Segregating variation in the polycomb group gene cramped alters the effect of temperature on multiple traits,2011,PLoS Genetics,7,10.1371/journal.pgen.1001280
2097,de109,Drosophila melanogaster,Diptera,body,color,geography,crm,single gene/pathway,adaptation,Gibert; Jean-Michel and Karch; François and Schlötterer; Christian,Segregating variation in the polycomb group gene cramped alters the effect of temperature on multiple traits,2011,PLoS Genetics,7,10.1371/journal.pgen.1001280
2538,v4,Drosophila melanogaster,Diptera,wing,area,geography,chromossome,chromossome,adaptation,Gockel; J. and Robinson; S.J.W. and Kennington; W.J. and Goldstein; D.B. and Partridge; L.,Quantitative genetic analysis of natural variation in body size in Drosophila melanogaster,2002,Heredity,89,10.1038/sj.hdy.6800121
2639,da29,Apis mellifera,Hymenoptera,body,overall development,diet,methylation,epigenetic,adaptation,Maleszka; Ryszard,Epigenetic integration of environmental and genomic signals in honey bees,2008,EPIGENETICS,3,10.4161/epi.3.4.6697
2639,da28,Apis mellifera,Hymenoptera,body,overall development,diet,JH,single gene/pathway,adaptation,Maleszka; Ryszard,Epigenetic integration of environmental and genomic signals in honey bees,2008,EPIGENETICS,3,10.4161/epi.3.4.6697
2766,de210,Heliconius melpomene,Lepidoptera,wing,color,predation,SNPs,genomic,adaptation,Papa; Riccardo and Morrison; Clayton M. and Walters; James R. and Counterman; Brian A. and Chen; Rui and Halder; Georg and Ferguson; Laura and Chamberlain; Nicola and Ffrench-Constant; Richard and Kapan; Durrell D. and Jiggins; Chris D. and Reed; Robert D. and McMillan; William O.,Highly conserved gene order and numerous novel repetitive elements in genomic regions linked to wing pattern variation in <i>Heliconius</i> butterflies,2008,BMC GENOMICS,9,10.1186/1471-2164-9-345
2766,de209,Heliconius erato,Lepidoptera,wing,color,predation,SNPs,genomic,adaptation,Papa; Riccardo and Morrison; Clayton M. and Walters; James R. and Counterman; Brian A. and Chen; Rui and Halder; Georg and Ferguson; Laura and Chamberlain; Nicola and Ffrench-Constant; Richard and Kapan; Durrell D. and Jiggins; Chris D. and Reed; Robert D. and McMillan; William O.,Highly conserved gene order and numerous novel repetitive elements in genomic regions linked to wing pattern variation in <i>Heliconius</i> butterflies,2008,BMC GENOMICS,9,10.1186/1471-2164-9-345
2837,b45,Drosophila melanogaster,Diptera,wing,size,geography,gene expression,transcriptomic,adaptation,Chauhan; Namita and Shrivastava; Nidhi Krishna and Agrawal; Namita and Shakarad; Mallikarjun N.,Wing patterning in faster developing <i>Drosophila</i> is associated with high ecdysone titer and wingless expression,2020,MECHANISMS OF DEVELOPMENT,163,10.1016/j.mod.2020.103626
2843,de126,Parnassius clodius,Lepidoptera,body,color,geography,SNPs,genomic,adaptation,Zaman; Khuram and Hubert; Mryia K. and Schoville; Sean D.,Testing the role of ecological selection on colour pattern variation in the butterfly <i>Parnassius clodius</i>,2019,MOLECULAR ECOLOGY,28,10.1111/mec.15279
2843,de127,Parnassius clodius,Lepidoptera,wing,size,geography,SNPs,genomic,adaptation,Zaman; Khuram and Hubert; Mryia K. and Schoville; Sean D.,Testing the role of ecological selection on colour pattern variation in the butterfly <i>Parnassius clodius</i>,2019,MOLECULAR ECOLOGY,28,10.1111/mec.15279
3029,de138,Apis cerana,Hymenoptera,body,size,geography ,SNPs,genomic,adaptation,Montero-Mendieta; Santiago and Tan; Ken and Christmas; Matthew J. and Olsson; Anna and Vila; Carles and Wallberg; Andreas and Webster; Matthew T.,The genomic basis of adaptation to high-altitude habitats in the eastern honey bee (<i>Apis cerana</i>),2019,MOLECULAR ECOLOGY,28,10.1111/mec.14986
3029,de137,Apis cerana,Hymenoptera,body,color,geography ,SNPs,genomic,adaptation,Montero-Mendieta; Santiago and Tan; Ken and Christmas; Matthew J. and Olsson; Anna and Vila; Carles and Wallberg; Andreas and Webster; Matthew T.,The genomic basis of adaptation to high-altitude habitats in the eastern honey bee (<i>Apis cerana</i>),2019,MOLECULAR ECOLOGY,28,10.1111/mec.14986
3029,de139,Apis cerana,Hymenoptera,hair,density,geography ,SNPs,genomic,adaptation,Montero-Mendieta; Santiago and Tan; Ken and Christmas; Matthew J. and Olsson; Anna and Vila; Carles and Wallberg; Andreas and Webster; Matthew T.,The genomic basis of adaptation to high-altitude habitats in the eastern honey bee (<i>Apis cerana</i>),2019,MOLECULAR ECOLOGY,28,10.1111/mec.14986
3037,de78,Heliconius melpomene,Lepidoptera,brain,shape,geography,gene expression,transcriptomic,adaptation,Montgomery; Stephen H. and Rossi; Matteo and McMillan; W. Owen and Merrill; Richard M.,Neural divergence and hybrid disruption between ecologically isolated <i>Heliconius</i> butterflies,2021,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,118,10.1073/pnas.2015102118
3037,de79,Heliconius cydno,Lepidoptera,brain,shape,geography,gene expression,transcriptomic,adaptation,Montgomery; Stephen H. and Rossi; Matteo and McMillan; W. Owen and Merrill; Richard M.,Neural divergence and hybrid disruption between ecologically isolated <i>Heliconius</i> butterflies,2021,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,118,10.1073/pnas.2015102118
3052,de94,Drosophila suzukii,Diptera,wing,size,geography ,SNPs,genomic,adaptation,Koch; Jonathan B. and Dupuis; Julian R. and Jardeleza; Marcel-Kate and Ouedraogo; Nadiatou and Geib; Scott M. and Follett; Peter A. and Price; Donald K.,Population genomic and phenotype diversity of invasive <i>Drosophila suzukii</i> in Hawai'i,2020,BIOLOGICAL INVASIONS,22,10.1007/s10530-020-02217-5
3082,de95,Apis mellifera,Hymenoptera,wing,shape,geography,SNPs,genomic,adaptation,Eimanifar; Amin and Brooks; Samantha A. and Bustamante; Tomas and Ellis; James D.,Population genomics and morphometric assignment of western honey bees (<i>Apis mellifera</i> L.) in the Republic of South Africa,2018,BMC GENOMICS,19,10.1186/s12864-018-4998-x
3106,de204,Coenonympha darwiniana,Lepidoptera,wing,shape,geography,SNPs,genomic,adaptation,Capblancq; Thibaut and Despres; Laurence and Rioux; Delphine and Mavarez; Jesus,Hybridization promotes speciation in <i>Coenonympha</i> butterflies,2015,MOLECULAR ECOLOGY,24,10.1111/mec.13479
3126,b36,Drosophila melanogaster,Diptera,body,mass,geography,gene expression,transcriptomic,adaptation,Bochdanovits; Z and van der Klis; H and de Jong; G,Covariation of larval gene expression and adult body size in natural populations of <i>Drosophila melanogaster</i>,2003,MOLECULAR BIOLOGY AND EVOLUTION,20,10.1093/molbev/msg179
3130,b8,Apis cerana,Hymenoptera,body,size,geography,RAPTOR,single gene/pathway,adaptation,Zhang; Yi and Xu; Hao and Wang; Zhi and Jie; Haoliang and Gao; Fuchao and Cai; Minqi and Wang; Kang and Chen; Dafu and Guo; Rui and Lin; Zheguang and Niu; Qingsheng and Ji; Ting,A key gene for the climatic adaptation of <i>Apis cerana</i> populations in China according to selective sweep analysis,2023,BMC GENOMICS,24,10.1186/s12864-023-09167-x
3144,de45,Drosophila melanogaster,Diptera,body,mass,hypoxia,gene expression,transcriptomic,adaptation,Zhou; Dan and Xue; Jin and Lai; James C. K. and Schork; Nicholas J. and White; Kevin P. and Haddad; Gabriel G.,Mechanisms Underlying Hypoxia Tolerance in <i>Drosophila melanogaster</i>: <i>hairy</i> as a Metabolic Switch,2008,PLOS GENETICS,4,10.1371/journal.pgen.1000221
3144,de46,Drosophila melanogaster,Diptera,body,size,hypoxia,gene expression,transcriptomic,adaptation,Zhou; Dan and Xue; Jin and Lai; James C. K. and Schork; Nicholas J. and White; Kevin P. and Haddad; Gabriel G.,Mechanisms Underlying Hypoxia Tolerance in <i>Drosophila melanogaster</i>: <i>hairy</i> as a Metabolic Switch,2008,PLOS GENETICS,4,10.1371/journal.pgen.1000221
3229,b7,Bombus balteatus,Hymenoptera,body,size,geography,CTRB1,single gene/pathway,adaptation,Christmas; Matthew J. and Jones; Julia C. and Olsson; Anna and Wallerman; Ola and Bunikis; Ignas and Kierczak; Marcin and Whitley; Kaitlyn M. and Sullivan; Isabel and Geib; Jennifer C. and Miller-Struttmann; Nicole E. and Webster; Matthew T.,A genomic and morphometric analysis of alpine bumblebees: Ongoing reductions in tongue length but no clear genetic component,2022,MOLECULAR ECOLOGY,31,10.1111/mec.16291
3229,b6,Bombus sylvicola,Hymenoptera,body,size,geography,CTRB1,single gene/pathway,adaptation,Christmas; Matthew J. and Jones; Julia C. and Olsson; Anna and Wallerman; Ola and Bunikis; Ignas and Kierczak; Marcin and Whitley; Kaitlyn M. and Sullivan; Isabel and Geib; Jennifer C. and Miller-Struttmann; Nicole E. and Webster; Matthew T.,A genomic and morphometric analysis of alpine bumblebees: Ongoing reductions in tongue length but no clear genetic component,2022,MOLECULAR ECOLOGY,31,10.1111/mec.16291
3325,de18,Coelopa frigida,Diptera,body,size,geography,chromossome,chromossome,adaptation,Merot; Claire and Berdan; Emma L. and Babin; Charles and Normandeau; Eric and Wellenreuther; Maren and Bernatchez; Louis,Intercontinental karyotype - environment parallelism supports a role for a chromosomal inversion in local adaptation in a seaweed fly,2018,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,285,10.1098/rspb.2018.0519
3371,de32,Dichroplus elongatus,Orthoptera,body,size,geography,chromossome,chromossome,adaptation,Rosetti; N. and Remis; M. I.,Latitudinal clines in the grasshopper <i>Dichroplus elongatus</i>: Coevolution of the A genome and B chromosomes?,2013,JOURNAL OF EVOLUTIONARY BIOLOGY,26,10.1111/jeb.12067
3376,de6,Papilio dardanus,Lepidoptera,wing,shape,predation,engrailed,single gene/pathway,adaptation,Timmermans; M. J. T. N. and Thompson; M. J. and Collins; S. and Vogler; A. P.,Independent evolution of sexual dimorphism and female-limited mimicry in swallowtail butterflies (<i>Papilio dardanus</i> and <i>Papilio phorcas</i>),2017,MOLECULAR ECOLOGY,26,10.1111/mec.14012
3376,de5,Papilio dardanus,Lepidoptera,wing,color,predation,engrailed,single gene/pathway,adaptation,Timmermans; M. J. T. N. and Thompson; M. J. and Collins; S. and Vogler; A. P.,Independent evolution of sexual dimorphism and female-limited mimicry in swallowtail butterflies (<i>Papilio dardanus</i> and <i>Papilio phorcas</i>),2017,MOLECULAR ECOLOGY,26,10.1111/mec.14012
3434,da15,Zelandoperla fenestrata,Plecoptera,wing,size,geography,SNPs,genomic,adaptation,McCulloch; Graham A. and Foster; Brodie J. and Dutoit; Ludovic and Ingram; Travis and Hay; Eleanor and Veale; Andrew J. and Dearden; Peter K. and Waters; Jonathan M.,Ecological gradients drive insect wing loss and speciation: The role of the alpine treeline,2019,MOLECULAR ECOLOGY,28,10.1111/mec.15114
3442,de89,Nilaparvata lugens,Hemiptera,body,mass,diet,gene expression,transcriptomic,adaptation,Wan; Pin-Jun and Zhou; Ruo-Nan and Nanda; Satyabrata and He; Jia-Chun and Yuan; San-Yue and Wang; Wei-Xia and Lai; Feng-Xiang and Fu; Qiang,Phenotypic and transcriptomic responses of two <i>Nilaparvata lugens</i> populations to the Mudgo rice containing <i>Bph1</i>,2019,SCIENTIFIC REPORTS,9,10.1038/s41598-019-50632-z
3451,v15,Nilaparvata lugens,Hemiptera,wing,size,diet,InR1,single gene/pathway,adaptation,Zhang; Chao and Mao; Meng-Sha and Liu; Xiang-Dong,Relative contribution of genetic and environmental factors to determination of wing morphs of the brown planthopper <i>Nilaparvata lugens</i>,2023,INSECT SCIENCE,30,10.1111/1744-7917.13037
3451,v18,Nilaparvata lugens,Hemiptera,wing,size,diet,foxo,single gene/pathway,adaptation,Zhang; Chao and Mao; Meng-Sha and Liu; Xiang-Dong,Relative contribution of genetic and environmental factors to determination of wing morphs of the brown planthopper <i>Nilaparvata lugens</i>,2023,INSECT SCIENCE,30,10.1111/1744-7917.13037
3451,v21,Nilaparvata lugens,Hemiptera,wing,size,social environment,Akt,single gene/pathway,adaptation,Zhang; Chao and Mao; Meng-Sha and Liu; Xiang-Dong,Relative contribution of genetic and environmental factors to determination of wing morphs of the brown planthopper <i>Nilaparvata lugens</i>,2023,INSECT SCIENCE,30,10.1111/1744-7917.13037
3451,v16,Nilaparvata lugens,Hemiptera,wing,size,diet,InR2,single gene/pathway,adaptation,Zhang; Chao and Mao; Meng-Sha and Liu; Xiang-Dong,Relative contribution of genetic and environmental factors to determination of wing morphs of the brown planthopper <i>Nilaparvata lugens</i>,2023,INSECT SCIENCE,30,10.1111/1744-7917.13037
3451,v20,Nilaparvata lugens,Hemiptera,wing,size,social environment,InR2,single gene/pathway,adaptation,Zhang; Chao and Mao; Meng-Sha and Liu; Xiang-Dong,Relative contribution of genetic and environmental factors to determination of wing morphs of the brown planthopper <i>Nilaparvata lugens</i>,2023,INSECT SCIENCE,30,10.1111/1744-7917.13037
3451,v22,Nilaparvata lugens,Hemiptera,wing,size,social environment,foxo,single gene/pathway,adaptation,Zhang; Chao and Mao; Meng-Sha and Liu; Xiang-Dong,Relative contribution of genetic and environmental factors to determination of wing morphs of the brown planthopper <i>Nilaparvata lugens</i>,2023,INSECT SCIENCE,30,10.1111/1744-7917.13037
3451,v17,Nilaparvata lugens,Hemiptera,wing,size,diet,Akt,single gene/pathway,adaptation,Zhang; Chao and Mao; Meng-Sha and Liu; Xiang-Dong,Relative contribution of genetic and environmental factors to determination of wing morphs of the brown planthopper <i>Nilaparvata lugens</i>,2023,INSECT SCIENCE,30,10.1111/1744-7917.13037
3451,v19,Nilaparvata lugens,Hemiptera,wing,size,social environment,InR1,single gene/pathway,adaptation,Zhang; Chao and Mao; Meng-Sha and Liu; Xiang-Dong,Relative contribution of genetic and environmental factors to determination of wing morphs of the brown planthopper <i>Nilaparvata lugens</i>,2023,INSECT SCIENCE,30,10.1111/1744-7917.13037
3496,b38,Phaulacridium vittatum,Orthoptera,body,size,geography,SNPs,genomic,adaptation,Yadav; Sonu and Stow; Adam J. and Dudaniec; Rachael Y.,Detection of environmental and morphological adaptation despite high landscape genetic connectivity in a pest grasshopper (<i>Phaulacridium vittatum</i>),2019,MOLECULAR ECOLOGY,28,10.1111/mec.15146
3554,de132,Drosophila melanogaster,Diptera,body,mass,diet,chameau,single gene/pathway,adaptation,Venkatasubramani; Anuroop Venkateswaran and Ichinose; Toshiharu and Kanno; Mai and Forne; Ignasi and Tanimoto; Hiromu and Peleg; Shahaf and Imhof; Axel,The fruit fly acetyltransferase chameau promotes starvation resilience at the expense of longevity,2023,EMBO REPORTS,24,10.15252/embr.202357023
